                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78736,                0.43379,                 1.0089,                 0.6275,                    0.5,                  0.645,                0.33468,                 1.8283,                 2.3827,                 1.9482,              0.0012252,              0.0012252,              0.0012252
                     36,                0.72366,                0.47175,                 1.0797,                0.66425,                    0.5,                0.61722,                0.36196,                 1.7429,                 1.8569,                 1.9526,               0.001256,               0.001256,               0.001256
                     37,                0.75305,                0.41525,                 1.0079,                0.66425,                    0.5,                0.61722,                0.36196,                 1.7429,                 1.8569,                 1.9526,              0.0012866,              0.0012866,              0.0012866
                     38,                0.75355,                0.43776,                 1.0338,                0.65157,                    0.5,                0.57939,                0.35061,                 1.8412,                 1.6925,                 2.0608,              0.0013169,              0.0013169,              0.0013169
                     39,                0.90658,                0.49001,                 1.1826,                0.74792,                0.74376,                 0.7325,                 0.4178,                 1.7789,                 1.2175,                 2.1745,              0.0013469,              0.0013469,              0.0013469
                     40,                0.68779,                0.40713,                0.96757,                0.74792,                0.74376,                 0.7325,                 0.4178,                 1.7789,                 1.2175,                 2.1745,              0.0013767,              0.0013767,              0.0013767
                     41,                0.68717,                0.42394,                0.98216,                0.99647,                   0.75,                0.83591,                0.49116,                 1.6862,                0.85023,                 2.1299,              0.0014062,              0.0014062,              0.0014062
                     42,                0.67627,                0.42154,                 1.0151,                0.99473,                   0.75,                   0.87,                0.51631,                 1.6593,                0.76796,                 2.1171,              0.0014354,              0.0014354,              0.0014354
                     43,                0.71738,                0.44637,                0.99517,                0.99473,                   0.75,                   0.87,                0.51631,                 1.6593,                0.76796,                 2.1171,              0.0014644,              0.0014644,              0.0014644
                     44,                0.76013,                 0.3749,                 1.0537,                      1,                0.74288,                  0.945,                0.53222,                 1.7737,                 0.8834,                 2.2863,              0.0014931,              0.0014931,              0.0014931
                     45,                0.69133,                0.42492,                 1.0831,                      1,                0.74288,                  0.945,                0.53222,                 1.7737,                 0.8834,                 2.2863,              0.0015215,              0.0015215,              0.0015215
                     46,                0.76322,                0.47414,                 1.0959,                0.63923,                      1,                0.84917,                0.48633,                 1.8922,                 1.0187,                 2.4096,              0.0015497,              0.0015497,              0.0015497
                     47,                0.65164,                0.40333,                 1.0124,                0.63923,                      1,                0.84917,                0.48633,                 1.8922,                 1.0187,                 2.4096,              0.0015777,              0.0015777,              0.0015777
                     48,                0.74784,                0.45547,                  1.081,                0.77903,                0.89513,                  0.895,                0.50142,                 1.8657,                 1.0856,                 2.3874,              0.0016053,              0.0016053,              0.0016053
                     49,                0.74824,                0.41728,                 1.0458,                0.77903,                0.89513,                  0.895,                0.50142,                 1.8657,                 1.0856,                 2.3874,              0.0016327,              0.0016327,              0.0016327
                     50,                0.58491,                0.35882,                0.95232,                0.58724,                   0.75,                  0.745,                0.46014,                 1.7178,                 1.0509,                 2.2328,              0.0016598,              0.0016598,              0.0016598
                     51,                0.61908,                0.43194,                 1.0389,                0.58724,                   0.75,                  0.745,                0.46014,                 1.7178,                 1.0509,                 2.2328,                0.00167,                0.00167,                0.00167
                     52,                 0.6229,                0.42001,                 1.0041,                0.79514,                0.97568,                  0.945,                0.56289,                 1.6963,                0.88131,                 2.1566,              0.0016634,              0.0016634,              0.0016634
                     53,                 0.6717,                0.40927,                 1.0956,                0.79514,                0.97568,                  0.945,                0.56289,                 1.6963,                0.88131,                 2.1566,              0.0016568,              0.0016568,              0.0016568
                     54,                0.72155,                 0.4267,                 0.9807,                0.78821,                      1,                  0.945,                0.58504,                 1.7079,                0.73066,                 2.1317,              0.0016502,              0.0016502,              0.0016502
