                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2331,                 2.5975,                  1.144,                      1,                 0.2104,                0.84503,                0.56266,                 1.0115,                 2.9875,                 1.0002,             0.00066013,             0.00066013,             0.00066013
                      2,                 1.2079,                 1.5005,                 1.1374,                0.85578,                   0.85,                0.90262,                0.60164,                 1.1053,                 1.2457,                 1.0817,              0.0013137,              0.0013137,              0.0013137
                      3,                 1.2331,                 1.1788,                 1.1663,                0.93325,                   0.85,                0.92307,                 0.6649,                0.99274,                0.95416,                 1.0605,               0.001954,               0.001954,               0.001954
                      4,                 1.2262,                 1.0101,                 1.1703,                0.92935,                0.90443,                0.95655,                0.67891,                0.91434,                0.92538,                 1.0197,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1545,                0.85272,                 1.1309,                 0.9275,                  0.925,                0.96125,                 0.7086,                0.89415,                0.81054,                 1.0133,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1424,                0.82001,                 1.1257,                0.97229,                0.94375,                0.97338,                0.73625,                0.86894,                0.56539,                0.99766,               0.001901,               0.001901,               0.001901
                      7,                 1.1079,                0.74646,                 1.1117,                0.95123,                  0.925,                 0.9626,                0.70955,                0.90679,                0.78477,                 1.0138,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1081,                0.72631,                 1.1066,                0.95502,                   0.95,                0.97285,                0.72941,                0.86366,                0.56371,                0.99144,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.0987,                0.73044,                 1.0965,                0.96289,                 0.9375,                0.97128,                0.74227,                0.84444,                0.55969,                0.99502,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.0762,                0.68629,                 1.0988,                0.98257,                  0.925,                0.97417,                0.76045,                0.78167,                0.50619,                0.96483,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0545,                 0.6712,                 1.0713,                0.99034,                0.96875,                0.98338,                0.73616,                0.87648,                0.48656,                0.97768,               0.001802,               0.001802,               0.001802
                     12,                 1.0431,                0.66482,                 1.0604,                0.98385,                 0.9625,                 0.9798,                0.75039,                0.86684,                0.51792,                0.97237,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.0337,                 0.6408,                 1.0622,                0.95676,                 0.9625,                0.97571,                0.75815,                0.84487,                0.51628,                0.96802,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.0075,                0.60351,                 1.0532,                0.98703,                0.95103,                0.97902,                0.75944,                 0.8436,                0.48204,                0.98187,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.0119,                0.63294,                 1.0727,                0.99184,                   0.95,                0.97681,                0.74993,                0.86707,                0.48968,                0.98657,              0.0017228,              0.0017228,              0.0017228
                     16,                0.99716,                0.59774,                  1.055,                0.95604,                0.95153,                0.97723,                 0.7635,                0.80478,                0.45518,                0.95539,               0.001703,               0.001703,               0.001703
                     17,                0.98666,                0.60287,                 1.0541,                 0.9748,                  0.967,                0.97823,                0.77384,                0.77919,                0.45535,                0.95481,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0096,                0.60101,                 1.0606,                0.97433,                   0.95,                0.97236,                0.74779,                0.84225,                0.47799,                0.97438,              0.0016634,              0.0016634,              0.0016634
                     19,                 0.9889,                0.58335,                 1.0453,                0.99354,                 0.9607,                0.97195,                0.77992,                0.78326,                0.44891,                0.95282,              0.0016436,              0.0016436,              0.0016436
                     20,                0.99381,                0.59698,                 1.0439,                0.99632,                   0.95,                0.97412,                0.76086,                0.82524,                0.46349,                 0.9652,              0.0016238,              0.0016238,              0.0016238
                     21,                0.95743,                0.57951,                 1.0395,                0.96158,                0.93861,                0.97888,                0.73531,                0.88451,                0.50968,                0.98405,               0.001604,               0.001604,               0.001604
                     22,                0.99275,                0.58956,                 1.0539,                0.97807,                 0.9375,                0.97903,                0.77635,                0.78343,                0.47058,                0.95415,              0.0015842,              0.0015842,              0.0015842
                     23,                0.94448,                0.55349,                 1.0235,                 0.9869,                0.95625,                0.98322,                0.77773,                0.79631,                0.42688,                0.94284,              0.0015644,              0.0015644,              0.0015644
                     24,                0.94621,                0.54366,                 1.0147,                0.99359,                0.96816,                0.98439,                0.77967,                0.83777,                0.42541,                0.95937,              0.0015446,              0.0015446,              0.0015446
                     25,                0.95307,                0.55698,                 1.0383,                0.99551,                   0.95,                0.97688,                0.78961,                0.75897,                0.43984,                0.95041,              0.0015248,              0.0015248,              0.0015248
                     26,                0.96537,                0.55936,                 1.0506,                0.97533,                0.96875,                0.98234,                0.77486,                0.77613,                0.44853,                0.94602,               0.001505,               0.001505,               0.001505
                     27,                0.92134,                0.53277,                 1.0134,                0.97873,                  0.975,                0.98086,                0.77961,                0.75269,                0.42864,                0.93524,              0.0014852,              0.0014852,              0.0014852
                     28,                0.93377,                0.54399,                 1.0321,                  0.981,                 0.9683,                0.98281,                0.77809,                0.77378,                0.42466,                  0.955,              0.0014654,              0.0014654,              0.0014654
                     29,                0.92633,                0.54282,                 1.0225,                0.99853,                  0.975,                0.98221,                 0.7904,                0.75415,                0.40276,                0.93639,              0.0014456,              0.0014456,              0.0014456
                     30,                0.91392,                 0.5174,                 1.0109,                0.98249,                  0.975,                0.98237,                0.77894,                0.76121,                0.42112,                0.93995,              0.0014258,              0.0014258,              0.0014258
                     31,                0.95331,                0.54467,                 1.0299,                0.98092,                0.96421,                0.97616,                0.77432,                0.81994,                0.43668,                0.96568,               0.001406,               0.001406,               0.001406
                     32,                0.88298,                0.51364,                 1.0058,                0.97976,                 0.9625,                0.98137,                0.79829,                0.73365,                0.40044,                0.93188,              0.0013862,              0.0013862,              0.0013862
                     33,                 0.8858,                0.51261,                 1.0031,                 0.9805,                0.96875,                0.97883,                0.78708,                0.77964,                0.41614,                  0.944,              0.0013664,              0.0013664,              0.0013664
                     34,                0.95633,                 0.5835,                 1.0388,                0.99346,                0.94967,                0.97566,                0.78325,                0.75204,                0.41943,                0.94076,              0.0013466,              0.0013466,              0.0013466
                     35,                0.90798,                0.51834,                 1.0097,                0.98578,                 0.9625,                0.97845,                0.79386,                0.75111,                0.40527,                0.94187,              0.0013268,              0.0013268,              0.0013268
                     36,                0.91795,                0.52877,                 1.0178,                0.99353,                0.96028,                0.98416,                0.80069,                0.73512,                0.37364,                0.94279,               0.001307,               0.001307,               0.001307
                     37,                0.86841,                0.50605,                0.98905,                0.97404,                0.95625,                0.98004,                0.79553,                0.73255,                0.41936,                0.93318,              0.0012872,              0.0012872,              0.0012872
                     38,                0.90493,                0.53053,                 1.0103,                0.99078,                0.95625,                0.98092,                0.79343,                0.72787,                 0.3864,                 0.9275,              0.0012674,              0.0012674,              0.0012674
                     39,                0.87525,                 0.4918,                0.99886,                0.98761,                0.95625,                0.98352,                0.78294,                0.74325,                0.40666,                0.92754,              0.0012476,              0.0012476,              0.0012476
                     40,                0.89702,                 0.5098,                  1.003,                0.98916,                 0.9625,                0.98484,                0.79675,                0.72915,                0.38677,                0.92865,              0.0012278,              0.0012278,              0.0012278
                     41,                0.88176,                 0.4945,                  1.006,                0.98099,                0.96751,                0.98425,                0.78539,                0.74872,                0.39495,                0.93553,               0.001208,               0.001208,               0.001208
