                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0347,                0.57291,                 1.0416,                0.86509,                 0.8392,                0.90989,                 0.5756,                 1.3611,                0.69013,                 1.2364,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.0325,                0.57451,                 1.0323,                0.87897,                0.86915,                0.92845,                0.58469,                 1.3606,                0.66619,                 1.2477,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.0069,                0.55009,                  1.026,                0.88053,                0.84964,                0.92031,                0.57727,                 1.3396,                0.67922,                 1.2409,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.0087,                0.55966,                 1.0204,                0.89472,                 0.8449,                0.92578,                0.58343,                 1.3394,                0.66042,                  1.239,             0.00044576,             0.00044576,             0.00044576
                     39,                0.98968,                0.54885,                 1.0224,                0.89348,                0.83679,                0.92379,                0.58484,                 1.3408,                0.66474,                  1.242,             0.00041275,             0.00041275,             0.00041275
                     40,                0.98243,                0.53634,                  1.018,                0.87425,                0.84991,                0.91009,                0.57336,                 1.3538,                0.70644,                  1.242,             0.00037974,             0.00037974,             0.00037974
                     41,                 0.9309,                0.46906,                0.99966,                0.85677,                0.87347,                0.91514,                0.58915,                 1.3348,                0.67929,                 1.2384,             0.00034674,             0.00034674,             0.00034674
                     42,                0.90696,                0.45255,                0.99494,                 0.9039,                0.82866,                 0.9131,                0.57563,                 1.3467,                0.67857,                 1.2507,             0.00031373,             0.00031373,             0.00031373
                     43,                0.87911,                0.43406,                0.98095,                0.89903,                0.84544,                0.91539,                0.57803,                 1.3571,                0.67696,                 1.2645,             0.00028072,             0.00028072,             0.00028072
                     44,                0.87627,                0.43156,                0.98294,                0.86841,                0.86682,                0.91195,                0.57965,                 1.3413,                0.69445,                 1.2478,             0.00024772,             0.00024772,             0.00024772
                     45,                0.85739,                0.42417,                0.97196,                0.89841,                0.83905,                 0.9154,                0.58742,                 1.3363,                0.68053,                 1.2644,             0.00021471,             0.00021471,             0.00021471
                     46,                0.83796,                0.41144,                0.96225,                 0.8957,                0.83986,                0.91744,                0.57672,                  1.355,                0.67963,                 1.2729,              0.0001817,              0.0001817,              0.0001817
                     47,                0.82523,                0.40604,                0.95716,                0.90385,                0.83923,                0.91586,                0.57852,                 1.3621,                0.69015,                 1.2805,              0.0001487,              0.0001487,              0.0001487
                     48,                0.82226,                0.40051,                0.95636,                0.89554,                0.85203,                0.91374,                0.57488,                 1.3607,                0.68342,                 1.2857,             0.00011569,             0.00011569,             0.00011569
                     49,                0.81045,                0.39773,                 0.9526,                0.89112,                0.85587,                0.91387,                0.57683,                 1.3615,                0.69439,                 1.2843,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.80396,                0.39435,                0.94979,                0.88955,                 0.8582,                0.91438,                0.57686,                 1.3543,                0.68506,                 1.2824,             4.9677e-05,             4.9677e-05,             4.9677e-05
